"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"STD3QG9F","blogPost","2021","","83 Most Popular Computer Vision Applications in 2022","viso.ai","","","","https://viso.ai/applications/computer-vision-applications/","Explore an extensive list of the top 83 Computer Vision Applications. Find powerful, surprising, and high-value use cases across industries.","2021-03-09","2021-12-27 19:40:37","2021-12-27 19:40:37","2021-12-27 19:40:37","","","","","","","","","","","","","","en-US","","","","","","","","","/Users/julienvanbelle/Zotero/storage/ZIH5E3EP/computer-vision-applications.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UAAG8VVY","journalArticle","","Puech, Fannie","Vers plus de robustesse en reconnaissance d'objets et de visages pour l'analyse d'images issues de vidéos de concert","","","","","","","","2021-12-28 11:25:44","2021-12-28 11:25:45","","127","","","","","","","","","","","","","fr","","","","","Zotero","","","","/Users/julienvanbelle/Zotero/storage/3XRG9WNY/Puech - Vers plus de robustesse en reconnaissance d'objets.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S8L6U3WG","presentation","","Sakher BELOUADAH","Object detection and recognition in digital images","","","","","https://fr.slideshare.net/SakherBELOUADAH/object-detection-and-recognition-in-digital-images","","16:22:17 UTC","2021-12-28 13:05:32","2021-12-28 13:05:32","2021-12-28 13:05:32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YUEJPKYG","blogPost","2018","","Building an Object Detection Model from Scratch in Python","Analytics Vidhya","","","","https://www.analyticsvidhya.com/blog/2018/06/understanding-building-object-detection-model-python/","Object detection is seeing a boom in the machine learning space in recent times. Learn how to build object detection models from scratch in Python.","2018-06-28","2021-12-28 18:53:03","2021-12-28 18:53:03","2021-12-28 18:53:03","","","","","","","","","","","","","","en","","","","","","","","","/Users/julienvanbelle/Zotero/storage/TNB9XKRV/understanding-building-object-detection-model-python.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MUDPE98N","blogPost","2020","Mohan, Sachin","6 Different Types of Object Detection Algorithms in Nutshell","MLK - Machine Learning Knowledge","","","","https://machinelearningknowledge.ai/different-types-of-object-detection-algorithms/","In this article we will cover some popular different types of object detection algorithms along with their advantages and limitations.","2020-06-30","2021-12-29 11:28:01","2021-12-29 11:28:01","2021-12-29 11:28:01","","","","","","","","","","","","","","en-US","","","","","","","","","/Users/julienvanbelle/Zotero/storage/W86BXPUI/different-types-of-object-detection-algorithms.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LIL27N4A","webpage","","","Facial recognition: top 7 trends (tech, vendors, markets, use cases & latest news)","Thales Group","","","","https://www.thalesgroup.com/en/markets/digital-identity-and-security/government/biometrics/facial-recognition","Facial recognition is a hot topic and somewhat controversial. Discover 7 trends likely to shape the face recognition landscape for the next 2 years.","","2021-12-29 11:31:53","2021-12-29 11:31:53","2021-12-29 11:31:53","","","","","","","Facial recognition","","","","","","","en","","","","","","","","","/Users/julienvanbelle/Zotero/storage/TPHFAHLK/facial-recognition.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KILWNVWQ","webpage","2019","Mattwich, Frederik","Understanding Object Detection","Medium","","","","https://towardsdatascience.com/understanding-object-detection-9ba089154df8","From the history of object detection down to the inner workings of the famous Faster-RCNN","2019-12-24","2021-12-29 16:04:26","2021-12-29 16:04:26","2021-12-29 16:04:26","","","","","","","","","","","","","","en","","","","","","","","","/Users/julienvanbelle/Zotero/storage/79EG5SAW/understanding-object-detection-9ba089154df8.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RX9DA9CK","journalArticle","2019","Zou, Zhengxia; Shi, Zhenwei; Guo, Yuhong; Ye, Jieping","Object Detection in 20 Years: A Survey","arXiv:1905.05055 [cs]","","","","http://arxiv.org/abs/1905.05055","Object detection, as of one the most fundamental and challenging problems in computer vision, has received great attention in recent years. Its development in the past two decades can be regarded as an epitome of computer vision history. If we think of today’s object detection as a technical aesthetics under the power of deep learning, then turning back the clock 20 years we would witness the wisdom of cold weapon era. This paper extensively reviews 400+ papers of object detection in the light of its technical evolution, spanning over a quarter-century’s time (from the 1990s to 2019). A number of topics have been covered in this paper, including the milestone detectors in history, detection datasets, metrics, fundamental building blocks of the detection system, speed up techniques, and the recent state of the art detection methods. This paper also reviews some important detection applications, such as pedestrian detection, face detection, text detection, etc, and makes an in-deep analysis of their challenges as well as technical improvements in recent years.","2019-05-15","2021-12-29 16:06:07","2021-12-29 16:06:07","2021-12-29 16:06:07","","","","","","","Object Detection in 20 Years","","","","","","","en","","","","","arXiv.org","","arXiv: 1905.05055","","/Users/julienvanbelle/Zotero/storage/FA5W83W3/Zou et al. - 2019 - Object Detection in 20 Years A Survey.pdf","","","Computer Science - Computer Vision and Pattern Recognition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KEEZREEV","presentation","","Preferred Networks","A Brief History of Object Detection / Tommi Kerola","","","","","https://fr.slideshare.net/pfi/a-brief-history-of-object-detection-tommi-kerola","","08:25:08 UTC","2021-12-29 16:10:35","2021-12-29 16:10:35","2021-12-29 16:10:35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PSIA4TVU","encyclopediaArticle","2020","","Méthode de Viola et Jones","Wikipédia","","","","https://fr.wikipedia.org/w/index.php?title=M%C3%A9thode_de_Viola_et_Jones&oldid=175497864","La méthode de Viola et Jones  est une méthode de détection d'objet dans une image numérique, proposée par les chercheurs Paul Viola et Michael Jones en 2001. Elle fait partie des toutes premières méthodes capables de détecter efficacement et en temps réel des objets dans une image. Inventée à l'origine pour détecter des visages, elle peut également être utilisée pour détecter d'autres types d'objets comme des voitures ou des avions. La méthode de Viola et Jones a été l'une des méthodes les plus connues et les plus utilisées, en particulier pour la détection de visages et la détection de personnes. En tant que procédé d'apprentissage supervisé, la méthode de Viola et Jones nécessite de quelques centaines à plusieurs milliers d'exemples de l'objet que l'on souhaite détecter, pour entraîner un classifieur. Une fois son apprentissage réalisé, ce classifieur est utilisé pour détecter la présence éventuelle de l'objet dans une image en parcourant celle-ci de manière exhaustive, à toutes les positions et dans toutes les tailles possibles. Considérée comme étant l'une des plus importantes méthodes de détection d'objet, la méthode de Viola et Jones est notamment connue pour avoir introduit plusieurs notions reprises ensuite par de nombreux chercheurs en vision par ordinateur, à l'exemple de la notion d'image intégrale ou de la méthode de classification construite comme une cascade de classifieurs boostés. Cette méthode bénéficie d'une implémentation sous licence BSD dans OpenCV, une bibliothèque très utilisée en vision par ordinateur.","2020-10-12","2021-12-29 16:59:44","2021-12-29 16:59:44","2021-12-29 16:59:44","","","","","","","","","","","","","","fr","Creative Commons Attribution-ShareAlike License","","","","Wikipedia","","Page Version ID: 175497864","","/Users/julienvanbelle/Zotero/storage/A3ZEYNEF/index.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VR9LAZKR","webpage","","","Explication de la machine vectorielle de support (SVM)","ICHI.PRO","","","","https://ichi.pro/fr/explication-de-la-machine-vectorielle-de-support-svm-97743104690915","Support Vector Machines (SVM) est un algorithme de base utilisé par les scientifiques des données. Il peut être appliqué à la fois aux problèmes de régression et de classification, mais il est le plus couramment utilisé pour la classification.","","2021-12-29 17:24:13","2021-12-29 17:24:13","2021-12-29 17:24:13","","","","","","","","","","","","","","fr","","","","","","","","","/Users/julienvanbelle/Zotero/storage/IRDCK5I4/explication-de-la-machine-vectorielle-de-support-svm-97743104690915.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QN2VL2ZJ","webpage","2018","Saha, Sumit","A Comprehensive Guide to Convolutional Neural Networks — the ELI5 way","Medium","","","","https://towardsdatascience.com/a-comprehensive-guide-to-convolutional-neural-networks-the-eli5-way-3bd2b1164a53","Artificial Intelligence has been witnessing a monumental growth in bridging the gap between the capabilities of humans and machines…","2018-12-17","2021-12-30 12:57:53","2021-12-30 12:57:53","2021-12-30 12:57:53","","","","","","","","","","","","","","en","","","","","","","","","/Users/julienvanbelle/Zotero/storage/DL5HDCNB/a-comprehensive-guide-to-convolutional-neural-networks-the-eli5-way-3bd2b1164a53.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5M9YPF4Q","webpage","2019","","Weight (Artificial Neural Network)","DeepAI","","","","https://deepai.org/machine-learning-glossary-and-terms/weight-artificial-neural-network","Weight is the parameter within a neural network that transforms input data within the network's hidden layers. As an input enters the node, it gets multiplied by a weight value and the resulting output is either observed, or passed to the next layer in the neural network.","2019-05-17","2021-12-30 13:42:44","2021-12-30 13:42:44","2021-12-30 13:42:44","","","","","","","","","","","","","","","","","","","","","","","/Users/julienvanbelle/Zotero/storage/8HXAMWZV/weight-artificial-neural-network.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IVPKMZNZ","webpage","2020","Peixeiro, Marco","Step-by-step Guide to Building Your Own Neural Network From Scratch","Medium","","","","https://towardsdatascience.com/step-by-step-guide-to-building-your-own-neural-network-from-scratch-df64b1c5ab6e","Learn the fundamentals of deep learning and build your very own neural network for image classification","2020-05-19","2021-12-30 13:47:37","2021-12-30 13:47:37","2021-12-30 13:47:37","","","","","","","","","","","","","","en","","","","","","","","","/Users/julienvanbelle/Zotero/storage/5LAF9LS6/step-by-step-guide-to-building-your-own-neural-network-from-scratch-df64b1c5ab6e.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N46E8AM4","webpage","","","Understanding SSD MultiBox — Real-Time Object Detection In Deep Learning | by Eddie Forson | Towards Data Science","","","","","https://towardsdatascience.com/understanding-ssd-multibox-real-time-object-detection-in-deep-learning-495ef744fab","","","2021-12-30 17:50:13","2021-12-30 17:50:13","2021-12-30 17:50:13","","","","","","","","","","","","","","","","","","","","","","","/Users/julienvanbelle/Zotero/storage/W5FUHQ5P/understanding-ssd-multibox-real-time-object-detection-in-deep-learning-495ef744fab.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S5JVYSSC","webpage","2019","","What Is SSD & How It Improved Computer Vision Forever","Analytics India Magazine","","","","https://analyticsindiamag.com/what-is-ssd-how-it-improved-computer-vision-forever/","The ground truth box is matched with the default box using Jaccard overlap, which ensures that each ground truth box has exactly one matched default box.","2019-03-29","2021-12-30 19:26:28","2021-12-30 19:26:28","2021-12-30 19:26:28","","","","","","","","","","","","","","en-US","","","","","","","","","/Users/julienvanbelle/Zotero/storage/BE5XBN2S/what-is-ssd-how-it-improved-computer-vision-forever.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SQRIJXKG","conferencePaper","2016","Liu, Wei; Anguelov, Dragomir; Erhan, Dumitru; Szegedy, Christian; Reed, Scott; Fu, Cheng-Yang; Berg, Alexander","SSD: Single Shot MultiBox Detector","","978-3-319-46447-3","","10.1007/978-3-319-46448-0_2","","We present a method for detecting objects in images using a single deep neural network. Our approach, named SSD, discretizes the output space of bounding boxes into a set of default boxes over different aspect ratios and scales per feature map location. At prediction time, the network generates scores for the presence of each object category in each default box and produces adjustments to the box to better match the object shape. Additionally, the network combines predictions from multiple feature maps with different resolutions to naturally handle objects of various sizes. SSD is simple relative to methods that require object proposals because it completely eliminates proposal generation and subsequent pixel or feature resampling stages and encapsulates all computation in a single network. This makes SSD easy to train and straightforward to integrate into systems that require a detection component. Experimental results on the PASCAL VOC, COCO, and ILSVRC datasets confirm that SSD has competitive accuracy to methods that utilize an additional object proposal step and is much faster, while providing a unified framework for both training and inference. For \(300 \times 300\) input, SSD achieves 74.3 % mAP on VOC2007 test at 59 FPS on a Nvidia Titan X and for \(512 \times 512\) input, SSD achieves 76.9 % mAP, outperforming a comparable state of the art Faster R-CNN model. Compared to other single stage methods, SSD has much better accuracy even with a smaller input image size. Code is available at https:// github. com/ weiliu89/ caffe/ tree/ ssd.","2016-10-08","2021-12-30 19:28:18","2021-12-30 19:28:18","","21-37","","","9905","","","SSD","","","","","","","","","","","","ResearchGate","","","","/Users/julienvanbelle/Zotero/storage/TAZCYJQJ/Liu et al. - 2016 - SSD Single Shot MultiBox Detector.pdf; ","https://www.researchgate.net/publication/308278279_SSD_Single_Shot_MultiBox_Detector","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F6CNBX9U","webpage","","","YOLO: Real-Time Object Detection","","","","","https://pjreddie.com/darknet/yolov2/","","","2021-12-30 19:43:58","2021-12-30 19:43:58","2021-12-30 19:43:58","","","","","","","","","","","","","","","","","","","","","","","/Users/julienvanbelle/Zotero/storage/F2UZCN9T/yolov2.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4MZAZKWC","journalArticle","","Redmon, Joseph; Farhadi, Ali","YOLOv3: An Incremental Improvement","","","","","","We present some updates to YOLO! We made a bunch of little design changes to make it better. We also trained this new network that’s pretty swell. It’s a little bigger than last time but more accurate. It’s still fast though, don’t worry. At 320 × 320 YOLOv3 runs in 22 ms at 28.2 mAP, as accurate as SSD but three times faster. When we look at the old .5 IOU mAP detection metric YOLOv3 is quite good. It achieves 57.9 AP50 in 51 ms on a Titan X, compared to 57.5 AP50 in 198 ms by RetinaNet, similar performance but 3.8× faster. As always, all the code is online at https://pjreddie.com/yolo/.","","2021-12-30 19:44:44","2021-12-30 19:44:44","","6","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/julienvanbelle/Zotero/storage/MSZYQ6NM/Redmon et Farhadi - YOLOv3 An Incremental Improvement.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
